column2	column3
  DickDarryl   Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan  AditiSinghINC  shaminaaaa  neetuve    	p
 GautamGambhir  OmarAbdullah  MehboobaMufti  INCIndia  BJPIndia I always get filled with pride and happiness when co wTOBHayz 	neutral
  MyNation   Karnataka  N Mahesh quits  Congress-JD S  Cabinet;  BJP says it s beginning of  INCIndia s downfall n n   t co uMzreOwq 	neutral
 maverickneha  INCIndia  RahulGandhi  companies more are there in the offset partners  Hope he knows that    t co DBmcBbD 	neutral
 sarvesh  chitranayal  dtamaz  amar ramaraj  BalajiVSrg  MehtaAatman  PremRajarathnam  KoundinyaNaga co rlcLINsdl 	p
  khushsundar  So wonderful to see  SanjaySDutt ji working extremely hard and motivating our cadres and members at the ground root level     	neutral
 szarita  INCIndia  RanajitSpeaks  DrHarsh AICC  AkashSatyawali Too cool  -  	p
 AnthonySald  Kanwal  DickDarryl  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini co NEbhWViy 	p
  AnthonySald   Kanwal  DickDarryl  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan  AditiSinghI    	p
  KPadmaRani  CP  RahulGandhi is asking straight questions  nWhile  nsitharaman is busy proving him wrong  n nOne simple question  n n How do    	neutral
 INCIndia U were in power for decades   see what a mess you have made    nganga ko tumne ganda kiya 	p
  thesuniljain  So let s understand this  INCIndia n RahulGandhi When you awarded Rs  lakh crore of projects to Anil Ambani Group  he was    	n
  INCIndia  Congress President  RahulGandhi will be in Bengaluru tomorrow where he will be speaking on how Reliance was favoured at the c    	p
  ManojJo   Goldiepandey  nagendrapathak  Indian Hindu   rahulendrabali  Draculaa  rraj  RaviPratapChand  nimish      	p
 ZeeNews  Shehzad Ind  tehseenp  BJPIndia  INCIndia If BJP want to win then only one way is - change face of CM  o co SEPVKtaBxh 	neutral
  SaptarshiChak  Dear Home minister nEven Akhlakh khan amp;Pehlu khan had human rights  victims of moLynch also possessed rights  nWomen eq    	p
  alamgirizvi  Where is  INCIndia legal cell  Wake up dear  Must take against this  Katak chup raho ge  Jetna chup raho ge  Samjho itna    	n
  GauravS  Supreme Court action clearly shows how irresponsible    Cheat    Fraud played by Amrapali builder    It s very right decisio    	p
  rajamaka  In a big setback to  Congress   Supreme Court has dismissed the petition filed by  INCIndia  KamalNath   amp;  SachinPilot  seeki    	n
Choro ki party  INCIndia party  Madhu Koda is serving jail sentence and his wife makes way into this corrupt party co ViSJJtLR 	neutral
 Raghuraj Bhadri  nHalf congratulations          n priyankac  juhiesingh  Pawankhera  anuragspparty  RTforINC co uwzmTKmpv 	p
If  RahulGandhi  amp; Sonia Gandhi goes to jail for  NationalHerald scam  I don t think  Congress will call for electio co jDiYsGQOKn 	n
 kapilvats  INCIndia It s a tactic by  RahulGandhi  SitaramYechury with help of Randi media to divert attention f co icRjsGpM 	p
  PrithaBandyop   pbsmba  OManojKumar  Karanbh  Shehla Rashid  yusufiosys  Dibyendu  sanjayuvacha  BNadhani  ShamilManzor  Pa    	n
  RenukaJain  Inflation at    for September  n nThis is biggest achievement of Mr Modi  Despite of high fuel prices they have been able    	n
  A P    meeraremi  Rip  Hunter  Blusafire  INCIndia Nobody asks why Sonia Gandhi visiting foreign at the time of elections i    	neutral
  KaushalyaAmrita   Nidhi Big buzz that  RahulGandhi maybe asked to step down when he returns to Delhi  But if he stays on  as  INCIndia    	neutral
  surjitbhalla  And   crores then is worth more than   crores today - and you do it in dollars and you get the drift  Another    	p
  Shantnu Ganguly  Let s give the corrupt  BJP a bloody nose they won t recover from   nBjp  modi should have finish in     INCIndia      	n
  KPadmaRani  Harvard Vs Hard work     n n GreatRafaleCoverUp  n n INCIndia  nI must confess that even my head is spinning     n ShashiTharoor htt    	n
 INCIndia  RahulGandhi Congratulations 	p
  eshwar khandre   INCIndia President Shri   RahulGandhi will be addressing the gathering at Minsk Square    Bangalore  tomorrow  -Oct-    	p
 AshokChavanINC  INCIndia  INCMaharashtra My tribute 	neutral
  bestversionofkr  Haha pidis provoking bhakts and then turned tail and ran away   n n INCIndia theek se training do    co HnNNqc    	p
 JhaSanjay If  RahulGandhi  amp; Sonia Gandhi goes to jail for  NationalHerald scam  I don t think  Congress will call co DqmGjVey 	n
 sm elixir  HLKodo  americai  Aatreyaa  RahulGandhi  INCIndia  INCTamilNadu Americai Narayanan will not answer for your questions on Pappu 	p
  sarvesh   chitranayal  dtamaz  amar ramaraj  BalajiVSrg  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramCh    	p
 ReallySwara  RahulGandhi Why don  t u officially join  INCIndia ?? 	n
  chitranayal   dtamaz  amar ramaraj  BalajiVSrg  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra  vel jay    	p
  INCIndia  It s time that PM Modi speak up on the conduct of a member of his cabinet and live up to his slogan of Beti Bachao  n   t    	neutral
  kktotlani  In France Joke is making rounds about  RahulGandhi especially after his attempt to embroil Macron in Rafale Controversy he s    	neutral
 GautamGambhir  OmarAbdullah  MehboobaMufti  INCIndia  BJPIndia Correct 	p
  szarita  When old youth congress colleagues meet   each in the service of the  INCIndia on various assignments  n RanajitSpeaks  DrHarsh    	neutral
 GautamGambhir  OmarAbdullah  MehboobaMufti  INCIndia  BJPIndia Well said gauti 	p
 Karnataka  N Mahesh quits  Congress-JD S  Cabinet;  BJP says it s beginning of  INCIndia s downfall n n   t co uMzreOwq 	neutral
 GautamGambhir  OmarAbdullah  MehboobaMufti  INCIndia  BJPIndia Agreed 	p
  RatanSharda  We salute such an upright  Judge  I think he is justice  Lalit  His judgement saw s of young people like me come out    	p
  cpraghav  And all these scientist couldn t do their best for Bharat just because of this Bloody Khoon-Gress  INCIndia  nGot them killed    	n
 khushsundar  INCIndia Phew   I had a shock    Sanjay dutt    	neutral
  rajeev mp  Another  RahulGandhi lie busted   n nYou hv to admit - the  INCIndia president deserves an   cA    for his persistence in lying n    	neutral
  INCIndia  Read GD Agarwal s third and final letter  which was ignored by PM Modi  on saving the Ganga n MaaGangaSeDhoka n   t co rA    	n
 KajalMaan  PunjabPoliceInd  DGPPunjabPolice  capt amarinder  INCPunja INCIndia  rajnathsingh  BJPIndia I support you  	p
 RahulGandhi  INCIndia  divyaspandana nRahulji   I do hope when you everyone it includes your MP  Shashi Tharooji as well  	p
 Kanwal  DickDarryl  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan co lEOnQVikHE 	p
 priyapyadav  pbsmba  Karanbh  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu co PRNPQJMf 	n
 LokSabhaElection   RahulGandhi   SharadPawar discuss seat-sharing process  says  NCP  INCIndia  n   t co nSZl 	neutral
 INCIndia This is very bad for country and coman people  Feku gang is destroying all things  Jai ho conggres jindabad  	n
  ar reddy  Transparent economy is choking the  INCIndia   nThis tax compliance is achieved with domonitization and GST     t co LYIW    	p
  INCKerala  KPCC president Shri Mullappally Ramachandran inaugurated the district leadership meet organised by Kannur DCC   INCIndia  Ra    	p
In a big setback to  Congress   Supreme Court has dismissed the petition filed by  INCIndia  KamalNath   amp; co IvszZl 	n
  INCIndia  LIVE  Special press conference by Congress President  RahulGandhi on  RafaleScamGrandExpose     t co oTsdFqww 	neutral
  shakkuiyer  For a party that believes in making followers drink urine of their beloved white skin hybrid leader  RahulGandhi   no surpr    	p
  INCIndia  Rafale company s senior ecutive has clearly stated that choosing Anil Ambani s company was a compensation for the purchase    	neutral
  INCIndia  They have admitted that it was  imperative and obligatory  for Dassault Aviation to accept this compensation in order to obta    	n
 Swamy I am curious if you are taking on Gandhi family  why not to give justice to this lady even after the death co CDMxubcqK 	neutral
  KPadmaRani   GreatRafaleCoverUp nLook at what  nsitharaman achieved   madam is in negotiations with  companies but not  HAL      n n INCI    	n
  Pawankhera  Cc  namitabhandare  Nidhi  ngogoi and all others who rightly question political parties to articulate their stance  Quest    	p
Mannan Wani  s death  We killed a terrorist and lost a radicalised talent   OmarAbdullah  MehboobaMufti  INCIndia co IIhwbzTkZh 	n
  drajoykumar  I welcome Geeta Koda ji to  INCIndia family     t co nJpoubGZI 	p
 dhruv rathee  Mani Rathinam At least  narendramodi has intention to do it Are u not ashamed it never dawned on  INCIndia ? 	n
  Kanwal   AnthonySald  DickDarryl  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan  AditiSinghI    	p
 priyapyadav  pbsmba  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu  sanjayuvacha  BNadhani co RUcaPj 	p
  moneycontrolcom  The  INCIndia demanded that  Gujarat Chief Minister  vijayrupanibjp should be sacked and President s Rule be imposed     	p
  INCIndia  There is a clear-cut case of corruption against PM of India  Congress President  RahulGandhi  n RafaleScamGrandExpose 	neutral
  Makebharatmahan   navinjoshi  Sudhakar  colkt  brainjal  Hajindersingh  rajeshwarbal  dhruvsharmaits  SanjayA  Azmat    	p
  INCIndia  No less than a former French President has stated that the PM of India is corrupt  The media that is questioning this is bein    	n
  INCIndia  Dassault is sitting on a huge contract  Dassault will say what the Indian govt wants it to say  Their internal document clear    	neutral
  Sanju Verma   Molesters from AAP rape accused scion of grand old party of India a lawyer who happpens to be spokesperson of  INCIndia     	p
  aruna sekhar  Hey  INCIndia  you might want to pick another spokesperson for dissent and not someone who has been defending Vedanta in    	n
  INCIndia  The Modi Govt is using the CBI and ED to suppress freedom of speech  amp; undermine the media   DaroMat  n   t co kABPtpBCs 	p
 INCIndia Looto 	p
 priyapyadav  Karanbh  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu  sanjayuvacha co CIVXPPm 	n
 INCIndia  RahulGandhi He will be reading the statements issued by Congress advisers   nIt seems he does not have his own views  	n
  gunjakapoor   Reasons why  temple tourism  will not help  RahulGandhi s politics n  Left leaning scholars in RG s inner team  includin    	n
 bestversionofkr  INCIndia They need energy drink  PappuMutra 	neutral
  ripunbora  When Modi govt  pulled off a  My Way or the Highway  moment in the great Rafale Scam   GreatRafaleCoverUp  RafaleScamGrandEx    	n
  Smart Gujju   prashant baluni  RahulGandhi    INCIndia IT cell member accused of sexual harassment  Chirag Patnaik accused of harassmen    	neutral
  suhelnarvekar   Indiamining  GoaFront  PMOIndia  nstomar  nitin gadkari  goacm  BJPIndia  INCIndia  ShivSena  Goaforwardparty Centre s    	p
  INCIndia  We remember Kamini Roy  a poet  a social worker and a feminist at an age when merely getting educated was taboo for a woman     	p
  dpradhanbjp  The UPA delayed the  RafaleDeal just because a  Brokerage Fee  to  INCIndia  s family friend was refused by the French   Ra    	p
  rckhuntia  Not just the big businessmen of the country  but have become BJP s parents  The  BJPIndia doesn t want anything like the co    	n
  JemHassan  BJP won first time in Navayikkulam panchayath election in Thiruvanandapuram BJP was on rd place for last yrs Congress s    	p
 INCIndia  RahulGandhi Ed has confiscated  crores property of Chidambaram  Chor kaun? 	neutral
  INCMinority  Modi ji gave a poll promise to clean Ganga  Except forming a separate Ministry he didn  t do anything  Allocated funds are    	n
 surjitbhalla  INCIndia Ur biases to BJP was never hidden    supporting corruption by BJP    saying congress was no better is ridiculous 	n
  KPCCPresident  This is Minsk Sqaure in Bengaluru where  HAL which got the short shrift in the  Rafale deal is located   INCIndia presid    	neutral
  TheAshokSingh  UPA govt awarded projects worth   crores to Anil Ambani s companies in their last -years of rule  Reports  Kickba    	n
 BalajiVSrg  dtamaz  amar ramaraj  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra co oSmloUI 	p
  INCIndia  The Modi Govt conveniently cites International stats when it suits them and when it doesn t they just go into denial   n      	n
 AsharamDaymaINC  SachinPilot  VipinINC  vibhamathur  keshavyadaviyc  vishal INC  avinashpandeinc  abhasbhatnagar co jokvavf 	p
  mallikarjun   drajoykumar  INCIndia Wah Fantastic    Ex-CM nMadhu Koda who was in Jail  corruption charges amp;Cong family    ais welcoming co    	neutral
 ndtv Wow     e  seats in MP ?? Are they so strong in a state in MP ?  praful patel  Sharadpawar Very brave move to co OSBkyRLBro 	n
  INCIndia  Our thoughts  amp; prayers are with those affected by  CycloneTitli  We urge all Congressmen to assist those impacted  n   t     	neutral
  INCKerala  KPCC president  MullappallyR  at Wayanad for leadership meet    INCIndia    t co GvYqtcPct 	neutral
 republic  INCIndia  BJPIndia  RahulGandhi here comes out worthless worms of congressi make out to destroy whoever co RLGjinrzn 	n
 NitinShingade  INCIndia  RahulGandhi Govt is of congress do you follow news 	p
  INCIndia  As the Modi Govt lurches from one crisis to another  it s obvious that PM Modi is clueless about foreign policy   Clearly hug    	p
  hindustani best   years se jo Gas subsidy cylinder ki cost  tk sirf RS  thi  Vo  year me modi ji ki govt ne  dugni Rs  kr    	p
  MLAYashomatiT  At the KPCC        Karnataka  n INCIndia  n RahulGandhi  n ashokgehlot  n AshokChavanINC    t co cdOXcSM 	n
  INCIndia  Party workers and the general public met with Congress President  RahulGandhi at the AICC headquarters in Delhi     t co    	p
  AnthonySald   SifatiAhad  Kanwal  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan  AditiSinghI    	p
  HimmatKambale  The lok sabha and legislative Assembly elections in the background of the legislative assembly elections c The former  s    	p
  SarveshSays  Law  amp;Order Situation in Bihar is worst right now and Sushasan Babu CM  NitishKumar is sleeping  A Former Mayor  amp; his drive    	n
  INCIndia  With over   of the funds allocated to Namami Gange unutilised  PM Modi has proved yet again that he excels in Jumlas and no    	n
 INCIndia  RahulGandhi Jai jai congress 	p
 chitranayal  dtamaz  amar ramaraj  BalajiVSrg  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher co SqPCjc 	p
  INCIndia  With an atrocious completion rate  PM Modi has focused on lip service rather than getting anything done on cleaning the Ganga    	n
  HimmatKambale  May it happen if  narendramodi in  BJPIndia elected again then next year too Raining won t success  amp; summer will big he    	n
  INCIndia  Congress President  RahulGandhi met Shri  girishgoa  President  Goa Pradesh Congress Committee  today   INCGoa    t co r    	neutral
 pbsmba  Karanbh  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu  sanjayuvacha co blFLpEcmn 	n
 INCIndia is trying revoke Godhra riot case with a cock and bull story by its chamcha    t co JnvYoPc 	neutral
  vijai  Congress MLA from Gujarat giving new SOP to her cadres on how to burn people alive  Tolerance     INCIndia    style   RahulGandhi       	p
So wonderful to see  SanjaySDutt ji working extremely hard and motivating our cadres and members at the ground root co VUtMgHV 	neutral
 Purusharth  LillyMaryPinto  RahulGandhi He is family   nAnd family is above all n nOr so the  INCIndia  zombies say         	p
  AshokChandnaINC  Today  INCIndia President  RahulGandhi ji addresses the National Ecutive Meet of the  IYC in Jaipur   ashokgehlot    	p
  INCIndia  Congress President  RahulGandhi addresses the National Ecutive Meet of the  IYC in Jaipur   RGYouth              	p
  pankaj  Shameless and fool  GappuPappu  n INCIndia  RahulGandhi    t co QawaoOrm	neutral
  nandini idnani  Kudos  DrRizwanAhmed  nMr Shah after retirement shd h gone  SC agt  narendramodi  amp; shouldn t worked as VC und  PMOIndi    	neutral
  HanumanPednekar   Indiamining  goacm  PMOIndia  nstomar  nitin gadkari  NSawaikar  shripadynaik  TendulkarBJP  INCIndia  ShivSena  GoaF    	p
 kmalmarugan  SushmaSwaraj  S MahajanLS  mjakbar  VinodSharmaView  RajyaSabha  ahmedpatel India s  MeToo movement w co bOTUdAo 	p
 amar ramaraj  dtamaz  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra  vel jaya co RFWKNmp 	p
  SirviChandan   dharmvirjangra  Shehzad Ind  tehseenp  BJPIndia  INCIndia  ZeeNewsHindi  barotchetan  VictoryForNamo  RajendraRai    	p
 AlladinKhan  ShamaAyyu priyankac  JM Scindia  OfficeOfKNath  INCMP  ShilpiSinghINC  MPArunYadav  RahulGandhi  INCIndia Congratulations 	p
  Tharoorian INC   ShashiTharoor  udfkerala  INCKerala  INCIndia Let s give the corrupt BJP a bloody nose they won t recover from   n     	n
 KPadmaRani  INCIndia  ShashiTharoor  ShashiTharoor copied  Kaalateetham tweet  amp; trending like pro        co YuxKBQ 	p
 BalajiVSrg  dtamaz  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra  vel jaya co zUJmxghXR 	p
  Sunil Congressi  I personally feel unless and until  INCIndia ask for JPC on RAFAEL  this issue will be over soon   Court can t do much    	n
  INCIndia  Congress President  RahulGandhi welcomed Shri Vikramaditya Singh  from Jammu  amp; Kashmir into the Congress family     t co    	neutral
  MLAYashomatiT  Organization first  nWhile we build our party      we also build the spirit of Secularity   In Karnataka    n RahulGandhi    	p
 Varada M  nsui  Fairoz JK  ReallySwara wants to be in the good books of the  INCIndia and  RahulGandhi  She is una co wwBOCBTOcF 	neutral
  vasanthakumarH  This  BJPIndia has developed a habit of pointing fingers towards  INCIndia over the years since the utter failure of t    	n
  szarita   RafaleScamGrandExpose  RAFALE  RafaleScam  RafaleDeal  nThere are three types of LIES  -- LIES and damn LIES  n n ProfCong  AIPC    	neutral
 INCIndia  RahulGandhi Rahul Gandhi is trying to prove that he is only prime minister candidate in mahagathabandhan 	n
  iRatneshMishra  One dummoron  RahulGandhi leading sinking boat of  INCIndia thought  Rafale fake propoganda will save his boat and he    	neutral
  shakkuiyer  Now  INCIndia   n acres of land bear Bengaluru worth  crores is grabbed by Jeejaji with the cooperation of ex CM Sid    	p
  RAJAGOPALAN   TVMohandasPai At the age of  this gentleman  YashwantSinha Is a joseeker  He will eat his own vomited words if he    	p
  CNNnews   BREAKING     INCIndia is an issueless party  Congress is trying to hide the misdemeanours of its own making  Congress and  R    	n
The Govt  has begun the process of releasing information about the projects granted to Pvt firms during UPA I and U co JlBMstQUD 	neutral
 Venu  Madhav  pkban  singhsantosh  surewrap  Capt Kartik  Rajesh  PNRATHOD  RakeshA co DfqQnOIws 	p
  OManojKumar   pbsmba  PrithaBandyop  Karanbh  Shehla Rashid  yusufiosys  Dibyendu  sanjayuvacha  BNadhani  ShamilManzor  Pa    	n
 surjitbhalla  INCIndia Why no industralist is comming in support of anil ambhani today anil tomorrow u also as fr co viATBQqr 	neutral
What about his scandal? Who will investigate? Bcs she is poor  not educated  with poor English knowledge will MEDIA co fkIIscXp 	n
 eshwar khandre  INCIndia  RahulGandhi  kcvenugopalmp  DrParameshwara  INCKarnataka  manickamtagore  MYaskhi co IZiVPFn 	p
 Smart Gujju  Ajnanahanta  prashant baluni  RahulGandhi  INCIndia  divyaspandana May be now Gujarat Police is waiti co CTagpQMu 	neutral
  Shambhvi   Rahul Gandhi can visit europe without anyone knowing what for n nBut a Cabinet Minister goes to france and it becomes a conspi    	p
 chitranayal  dtamaz  amar ramaraj  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra co YSJQJmiE 	p
Kudos  DrRizwanAhmed  nMr Shah after retirement shd h gone  SC agt  narendramodi  amp; shouldn t worked as VC und co YJJbuhhJN 	n
  INCIndia  Blogging Minister  arunjaitley  blogs won t do the trick anymore  Time to take some concrete action on the economy     t    	n
  JayeshHarde   neel  INCIndia Right 	p
  NewsX  After Saloni Chopra  Bipasha Basu says Sajid Khan cracked lewd jokes openly  humiliated women on set of film Humshakals n MeToo      	p
  MahilaCongress    INCIndia President sported the Mahila Congress badge throughout his visit to Bikaner Joining in our joy  amp; celebration    	p
 ReallySwara  RahulGandhi  ReallySwara   btw when are you going to join  INCIndia ? 	p
 NewsX  BJPIndia  INCIndia  MehboobaMufti  OmarAbdullah  jkpdp Bloody terrorist Mannan sympathisers shall be prose co WesGmQs 	n
  Karanbh   BNadhani  yusufiosys  ila fisa  Dibyendu  Subytweets  PrithaBandyop  AjuMaaza  OManojKumar  sanjayuvacha  ShamilM    	n
  alamgirizvi  EXCLUSIVE  Upset Over JoData Picture  BJP MPs Block M M  Joshi-Panel Report on GDP Growth  Amit Shah uses Vijay Goyal       	n
  abhishekINDIAN   BJPMaharashtra  satyajeettambe  INCIndia  RahulGandhi  IYCMaha  raosahebdanve  BJPIndia  Dev Fadnavis  BJPLive  Ami    	p
 republic  RahulGandhi  INCIndia  BJPIndia It is In the open now that the   metoo gang is nothing but a bunch of s co aKEokVxmN 	neutral
  romania red  Union minister Ananth Kumar Hegde stirs controversy says   We  re here only to do politics  not social service    BJPIndia    	n
 surjitbhalla  INCIndia Congress Gave One of the Best Oil fields to Mulesh Ambani on his terms  amp; conditions  MA did co HeAIDVxNNO 	p
  abhikhopade   Sootradhar  ModiBharosa What non sense how could they say something like this  ??                   INCIndia dosent deserve single vo    	p
  SatyendraBJP  Dear  RahulGandhi  Crores citizens of Bharat asking that During UPA  why have you allotted       Rupees    	p
 rajeev mp  RahulGandhi  INCIndia Nation should never expect an acknowledged liar like Rahul to apologise or substa co ZvSJXUEYp 	p
 SwarajyaMag  INCIndia can  t escape   kerala will teach both congress and  cpimspeak a very hard lesson  	n
 thesuniljain  INCIndia  RahulGandhi  narendramodi Contracts have to be   cwon    by a bidding process   Rafale contrac co ppeJMQhFQ 	n
 INCIndia Very nice video   bitter truth of india 	p
  Abhishe   INCIndia  librarycongress   MeeToo  campaign is incomplete without these guys           co HIBKPmAbke 	neutral
 ZeeNews  Shehzad Ind  tehseenp  BJPIndia  INCIndia                      e                                  n   e                             c                 n tehseenp  amp;  INCIndia co OcrFGKJ 	p
 JoeAgneya  INCIndia ensured that we lag behind  how many more backstabbing like  nambinarayanan has yet to surface? 	p
 surjitbhalla  INCIndia Now let s wait and see how much for Adani     	p
 dtamaz  amar ramaraj  BalajiVSrg  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra co VPITEvwY 	neutral
  ShashiTharoor  Spoke to a  udfkerala rally in Vattiyoorkavu today   INCKerala  amp; allies have organised such public awareness campaigns i    	n
He seems serial offender having obsessiveness for women  Inspite of so many allegations from different n reliable q co fkfnRMz 	n
  A P    meeraremi  Rip  Hunter  Blusafire  INCIndia Was sent to Mrs Sonia Gandhi before sending it to MMS? Nobody will ask a    	neutral
  BalajiVSrg   dtamaz  amar ramaraj  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra  vel jaya  asha  UI    	p
 INCIndia  RahulGandhi Today is world mental health day People at large know whose mental health is at risk Shld ad co naVMrITXV 	neutral
 INCIndia  RahulGandhi  rssurjewala  ShashiTharoor  etc  nYou  INC want to lose all credibility  and ? Why Musli co eAZpWhdUXL 	n
 INCIndia Feku and his gang are big cheater for coman people and country but faithful of ambani and adani group  He co LgnIZbR 	p
  KapilSibalteam  The present situation in d country is worse than d Emergency days  We hv  start d second struggle of independence as w    	p
  A P    Rip  Hunter  meeraremi  Blusafire Who says nobody knows     Because of this Mr  Jogi had done had done so many thing    	n
  GauravMate  Its a violation and disrespect towards  Constitution and the drafting committee which is leading the nation from its exis    	p
  GauravMate  Mr  Avadhutwaghbjp Whole nation is aware of that  narendramodi is a creature doesn t belongs to earth  He is totally a fa    	n
 AmritaSoni   DevaBiswas  ZeeNews  ModiLeDube  Shehzad Ind  tehseenp  BJPIndia  INCIndia Nice 	p
  MyNation   Congress president  RahulGandhi s campaign seems to have heightened the pitch    the party has now roped in Bollywood singer    	n
 dtamaz  amar ramaraj  MehtaAatman  PremRajarathnam  KoundinyaNaga  NilotpalMukher  SundaramChitra  vel jaya co vrbgxskxz 	p
  BadShaHardik   thesuniljain  INCIndia  RahulGandhi  narendramodi Amazing NOw Godi Media Journalist r writing Threat Articles nTht Govt i    	p
 INCIndia  RahulGandhi Pappu better not go to HAL toomoorow     people are very angy that u are getting more work f co HIdMqooJ 	n
